区域,地点,发现物/事件,位置,技能,线索,线索来源,获得,位置-第二步,技能-第二步
东亚,杭州,越王勾践剑,下8左下3,医术4,无,,越王勾践剑(火器+2),下8左下1,格斗5
东亚,杭州,司南,左上7左下5,,磁勺,漳州解读《怀梦笔溪》,司南(测绘+3 地理+3 云睦专属),,
东亚,杭州,寒山寺,左上5左下2,观察2,东方寺庙,漳州解读《唐诗》,,,
东亚,杭州,无烟雁尾鱼灯,下4左下9,财宝5,汉灯,杭州商业行会 贡献800,,,
东亚,杭州,红松木森林,左上3左下10,生物4,,,本地新增交易品 红松木,,
东亚,杭州,回城点,左上2左下6,,,,,,
东亚,长江下游,兰亭序,下6左下1,云睦/人文5,支线-文人知雅意,杭州官府 贡献400,,,
东亚,长江下游,熊猫,下4左下11,陆礼渊/生物8,无,,,,
东亚,长江下游,古战场宝藏,左下6,,,利马道具店,亮银枪(格斗+1),,
东亚,黄河下游,万里长城,上11左上4,观察5,无尽的城墙,漳州酒馆,贡献>0,,
东亚,黄河下游,铜奔马,左上4左下3,技巧58,古墓的线索,支线【古镜记】,,,
东亚,黄河下游,四方羊尊,上6,观察7,制鼎工艺,海州,,,
东亚,黄河下游,兵马俑,左上2左下8,,陶土军队的线索,完成支线【古镜记】后，漳州府邸,,,
东亚,黄河下游,黄河古城宝藏,左上6左下4,,,堺装备商店,雁翎刀(格斗+1),,
东亚,那霸,琉球遗迹,上5右上5,,,,,,
东亚,那霸,螺钿紫檀五弦琵琶,上3左上4,演奏7,螺钿紫檀五弦琵琶的线索,堺繁荣，酒馆，有船员演奏5+,,,
东亚,那霸,铅矿脉,右上3右下1,格斗2,,,,,
东亚,堺,天海支线,下4右下9,身体48,支线-落水刃,,,,
东亚,堺,法隆寺,右上3右下9,技巧32,无,,,,
东亚,堺,雅乐假面,下2右下8,技巧28,东方面具,江户解读-《雪月物语》,雅乐假面(生物+3),,
东亚,堺,富士山,右上7右下2,,东方活火山,江户解读-《骏河国风土记》,,,
东亚,堺,平等院凤凰堂,右上2,医术5,庄园,江户解读-《鹤君物语》,,右上2下7,
